구분,품목구분,상품코드,상품명,내포입
부자재,부자재,PD24121700001,(25설)한아조 공용박스,
부자재,부자재,PD24121700002,(25설)오렌지 리플렛,
부자재,부자재,PD24121700003,(25설)포도 리플렛,
부자재,부자재,PD24121700004,(25설)오렌지 비누,
부자재,부자재,PD24121700005,(25설)포도 비누,
부자재,부자재,PD25030500001,(KR/JP)선물패키지 내장카드(케이크),
부자재,부자재,PD25030500002,(KR/JP)선물패키지 단상자(1개입),
부자재,부자재,PD25030600003,(KR/JP) 선물패키지 오렌지 내장패드,
부자재,부자재,PD25030600004,(KR/JP) 선물패키지 포도 내장패드,
부자재,부자재,PD25030600005,(KR/JP) 선물패키지 슬리브(공용),
부자재,부자재,PD25032500002,(25감사의달) 6개입 단상자(공용),
부자재,부자재,PD25032500004,(25감사의달) 2개입 단상자(공용),
부자재,부자재,PD25042500002,트리플샤인 톤팔레트 종이케이스(KR),
부자재,부자재,PD25042500003,트리플샤인 톤팔레트 종이케이스(JP),
부자재,부자재,PD25081800005,(25추석) 2개입 단상자,
부자재,부자재,PD25081900008,(25추석) 6개입 단상자,
부자재,부자재,PD25081900010,(25추석) 2개입 보자기(옐로우),
부자재,부자재,PD25081900009,(25추석) 6개입 보자기(오렌지),
부자재,부자재,PD25081800008,(컬리) 스킨시너지 2개입 단상자,
부자재,부자재,PD25081900011,(컬리) 2개입 보자기(오렌지),
부자재,부자재,PD25101400001,(25홀리데이) 패키지 단상자,
부자재,부자재,PD25103000001,KG 두피렌즈 패키지,
부자재,부자재,PD25121000001,올리브영_트리플콜라겐 슬리브,
부자재,부자재,PD25121600003,올리브영_케라그로우 패드,
부자재,부자재,PD26051200001,올리브영_트리플샤인 슬리브,
부자재,부자재,PD26010600001,"[26설] 설기획세트 패키지(쇼핑백, 안짝)",
부자재,부자재,PD26012600001,카카오톡선물하기_케라그로우 단독패키지,
부자재,부자재,PD26032700001,[26 감사의달] 트리플콜라겐 패키지(단상자),
부자재,부자재,PD26032700002,[26 감사의달] 트리플샤인 패키지(단상자),
부자재,부자재,PD26032700003,[26 감사의달] 케라그로우 패키지(단상자),
부자재,부자재,PD26032700004,[26 감사의달] 쇼핑백,
부자재,부자재,PD26042400001,[26 감사의달] US 리플렛,
부자재,부자재,PD25021800001,밸런스 세트(7개입 8+8) 상자,
부자재,부자재,PD26040300001,트리플콜라겐 오렌지 8개입 상자,
부자재,부자재,PD26040300002,케라그로우 망고 4개입 상자,
부자재,부자재,PD26040300003,볼륨시너지 4개입 상자,
부자재,부자재,PD26041700001,커리쉴 메인 콜라보 키트 단상자,
부자재,부자재,PD26041700002,커리쉴 미니어처 트라이얼 키트 단상자,
집기,집기,PD25110300001,(집기) 큐브진열대_진열대,
집기,집기,PD25110300002,(집기) 큐브진열대_원형상판(목재),
집기,집기,PD25110300003,(집기) 큐브진열대_아크릴상판(오렌지),
집기,집기,PD25110300004,(집기) A4 거치대 실버,
집기,집기,PD25110300005,(집기) 철망펜스_철망,
집기,집기,PD25110300006,(집기) 철망펜스_아크릴거울(오렌지),
집기,집기,PD25110300007,(집기) 큐브진열대_아크릴상판(퍼플),
집기,집기,PD25110300008,(집기) 큐브진열대_아크릴상판(옐로우),
집기,집기,PD25110300009,(집기) 벽 부착 사각선반,
집기,집기,PD25110300010,(집기) 목재 과일박스,
집기,집기,PD25110300011,(집기) 커튼_레일(250CM),
집기,집기,PD25110300012,(집기) 커튼_레일(150CM),
집기,집기,PD25110300013,(집기) 커튼_천(250CM),
집기,집기,PD25110300014,(집기) 커튼_천(150CM),
집기,집기,PD25110300015,(집기) 커튼_레일 고정용 브라켓,
집기,집기,PD25110300016,(집기) OWNIST_LED 조명+브라켓,
집기,집기,PD25110300017,(집기) 모형 망고,
